compound_id,molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3,input_count,selected_count,scaffold_id
69,hash_69,CCCCCCCCCC,25.0,2.0,3.0,15.0,25,8,hash_69
70,hash_70,C,26.0,8.0,5.0,28.0,26,19,hash_70
71,hash_71,CC,15.0,5.0,9.0,26.0,15,19,hash_71
72,hash_72,CCC,27.0,4.0,5.0,28.0,27,15,hash_72
73,hash_73,CCCC,24.0,3.0,8.0,28.0,24,17,hash_73
74,hash_74,CCCCC,18.0,8.0,5.0,33.0,18,20,hash_74
75,hash_75,CCCCCC,13.0,3.0,4.0,30.0,13,13,hash_75
76,hash_76,CCCCCCC,19.0,4.0,8.0,32.0,19,18,hash_76
77,hash_77,CCCCCCCC,18.0,7.0,8.0,26.0,18,20,hash_77
78,hash_78,CCCCCCCCC,18.0,3.0,4.0,14.0,18,10,hash_78
79,hash_79,CCCCCCCCCC,18.0,3.0,4.0,31.0,18,13,hash_79
80,hash_80,C,16.0,8.0,10.0,33.0,16,25,hash_80
81,hash_81,CC,27.0,4.0,6.0,29.0,27,16,hash_81
82,hash_82,CCC,25.0,6.0,10.0,23.0,25,21,hash_82
83,hash_83,CCCC,19.0,5.0,4.0,28.0,19,15,hash_83
84,hash_84,CCCCC,10.0,3.0,3.0,15.0,10,9,hash_84
85,hash_85,CCCCCC,19.0,2.0,5.0,24.0,19,12,hash_85
86,hash_86,CCCCCCC,16.0,7.0,3.0,24.0,16,15,hash_86
87,hash_87,CCCCCCCC,18.0,2.0,5.0,23.0,18,12,hash_87
88,hash_88,CCCCCCCCC,21.0,6.0,3.0,24.0,21,14,hash_88
89,hash_89,CCCCCCCCCC,14.0,4.0,7.0,34.0,14,18,hash_89
90,hash_90,C,21.0,5.0,6.0,20.0,21,15,hash_90
91,hash_91,CC,27.0,9.0,6.0,27.0,27,20,hash_91
92,hash_92,CCC,20.0,2.0,3.0,22.0,20,9,hash_92
93,hash_93,CCCC,24.0,5.0,5.0,21.0,24,14,hash_93
94,hash_94,CCCCC,21.0,3.0,3.0,23.0,21,11,hash_94
95,hash_95,CCCCCC,18.0,7.0,5.0,24.0,18,17,hash_95
96,hash_96,CCCCCCC,24.0,4.0,10.0,33.0,24,21,hash_96
97,hash_97,CCCCCCCC,25.0,11.0,4.0,20.0,25,19,hash_97
98,hash_98,CCCCCCCCC,30.0,10.0,3.0,27.0,30,18,hash_98
99,hash_99,CCCCCCCCCC,24.0,1.0,2.0,26.0,24,8,hash_99
100,hash_100,C,20.0,3.0,8.0,26.0,20,16,hash_100
101,hash_101,CC,21.0,3.0,6.0,29.0,21,15,hash_101
102,hash_102,CCC,23.0,3.0,12.0,22.0,23,19,hash_102
103,hash_103,CCCC,22.0,6.0,5.0,22.0,22,15,hash_103
104,hash_104,CCCCC,27.0,2.0,1.0,23.0,27,8,hash_104
105,hash_105,CCCCCC,20.0,3.0,4.0,26.0,20,12,hash_105
106,hash_106,CCCCCCC,23.0,4.0,6.0,33.0,23,17,hash_106
107,hash_107,CCCCCCCC,21.0,7.0,3.0,19.0,21,14,hash_107
108,hash_108,CCCCCCCCC,13.0,6.0,3.0,23.0,13,14,hash_108
109,hash_109,CCCCCCCCCC,19.0,1.0,8.0,22.0,19,13,hash_109
110,hash_110,C,20.0,3.0,5.0,22.0,20,12,hash_110
111,hash_111,CC,24.0,4.0,4.0,29.0,24,14,hash_111
112,hash_112,CCC,21.0,3.0,6.0,23.0,21,14,hash_112
113,hash_113,CCCC,22.0,2.0,7.0,30.0,22,15,hash_113
114,hash_114,CCCCC,20.0,4.0,5.0,24.0,20,14,hash_114
115,hash_115,CCCCCC,27.0,6.0,6.0,24.0,27,17,hash_115
116,hash_116,CCCCCCC,20.0,4.0,2.0,28.0,20,12,hash_116
117,hash_117,CCCCCCCC,21.0,5.0,4.0,21.0,21,13,hash_117
118,hash_118,CCCCCCCCC,18.0,7.0,2.0,16.0,18,12,hash_118
119,hash_119,CCCCCCCCCC,29.0,2.0,5.0,24.0,29,12,hash_119
120,hash_120,C,15.0,9.0,7.0,27.0,15,21,hash_120
121,hash_121,CC,20.0,5.0,7.0,14.0,20,15,hash_121
122,hash_122,CCC,22.0,8.0,2.0,18.0,22,14,hash_122
123,hash_123,CCCC,24.0,4.0,4.0,31.0,24,14,hash_123
124,hash_124,CCCCC,22.0,5.0,7.0,17.0,22,15,hash_124
125,hash_125,CCCCCC,26.0,5.0,5.0,27.0,26,15,hash_125
126,hash_126,CCCCCCC,17.0,6.0,4.0,26.0,17,15,hash_126
127,hash_127,CCCCCCCC,23.0,4.0,7.0,23.0,23,16,hash_127
128,hash_128,CCCCCCCCC,19.0,6.0,5.0,27.0,19,16,hash_128
129,hash_129,CCCCCCCCCC,21.0,6.0,2.0,25.0,21,13,hash_129
130,hash_130,C,18.0,6.0,5.0,25.0,18,16,hash_130
131,hash_131,CC,13.0,5.0,6.0,30.0,13,17,hash_131
132,hash_132,CCC,19.0,1.0,6.0,23.0,19,12,hash_132
133,hash_133,CCCC,19.0,3.0,2.0,22.0,19,9,hash_133
134,hash_134,CCCCC,16.0,2.0,5.0,23.0,16,12,hash_134
135,hash_135,CCCCCC,20.0,11.0,5.0,22.0,20,20,hash_135
136,hash_136,CCCCCCC,28.0,8.0,5.0,23.0,28,18,hash_136
137,hash_137,CCCCCCCC,17.0,5.0,5.0,34.0,17,17,hash_137
138,hash_138,CCCCCCCCC,20.0,0.0,2.0,27.0,20,7,hash_138
139,hash_139,CCCCCCCCCC,15.0,2.0,8.0,20.0,15,14,hash_139
140,hash_140,C,18.0,4.0,8.0,29.0,18,18,hash_140
141,hash_141,CC,22.0,1.0,7.0,31.0,22,14,hash_141
142,hash_142,CCC,12.0,2.0,4.0,28.0,12,12,hash_142
143,hash_143,CCCC,24.0,6.0,7.0,22.0,24,17,hash_143
144,hash_144,CCCCC,23.0,5.0,8.0,26.0,23,18,hash_144
145,hash_145,CCCCCC,26.0,7.0,6.0,21.0,26,17,hash_145
146,hash_146,CCCCCCC,19.0,7.0,5.0,26.0,19,17,hash_146
147,hash_147,CCCCCCCC,19.0,7.0,3.0,20.0,19,14,hash_147
148,hash_148,CCCCCCCCC,15.0,8.0,3.0,18.0,15,15,hash_148
149,hash_149,CCCCCCCCCC,13.0,6.0,2.0,27.0,13,13,hash_149
150,hash_150,C,29.0,3.0,5.0,20.0,29,12,hash_150
151,hash_151,CC,18.0,1.0,4.0,19.0,18,9,hash_151
152,hash_152,CCC,18.0,4.0,6.0,29.0,18,16,hash_152
153,hash_153,CCCC,24.0,4.0,3.0,15.0,24,10,hash_153
154,hash_154,CCCCC,23.0,4.0,3.0,19.0,23,11,hash_154
155,hash_155,CCCCCC,20.0,4.0,10.0,26.0,20,19,hash_155
156,hash_156,CCCCCCC,20.0,10.0,1.0,22.0,20,15,hash_156
157,hash_157,CCCCCCCC,21.0,3.0,7.0,32.0,21,16,hash_157
158,hash_158,CCCCCCCCC,20.0,2.0,4.0,34.0,20,13,hash_158
159,hash_159,CCCCCCCCCC,19.0,2.0,12.0,25.0,19,19,hash_159
160,hash_160,C,23.0,4.0,4.0,27.0,23,13,hash_160
161,hash_161,CC,26.0,4.0,4.0,22.0,26,12,hash_161
162,hash_162,CCC,16.0,8.0,2.0,30.0,16,16,hash_162
163,hash_163,CCCC,31.0,5.0,4.0,26.0,31,14,hash_163
164,hash_164,CCCCC,17.0,11.0,4.0,23.0,17,20,hash_164
165,hash_165,CCCCCC,14.0,4.0,6.0,22.0,14,14,hash_165
166,hash_166,CCCCCCC,24.0,4.0,8.0,21.0,24,16,hash_166
167,hash_167,CCCCCCCC,21.0,6.0,3.0,27.0,21,14,hash_167
168,hash_168,CCCCCCCCC,22.0,2.0,4.0,23.0,22,11,hash_168
169,hash_169,CCCCCCCCCC,18.0,2.0,2.0,22.0,18,8,hash_169
170,hash_170,C,18.0,3.0,3.0,18.0,18,10,hash_170
171,hash_171,CC,20.0,4.0,3.0,20.0,20,11,hash_171
172,hash_172,CCC,23.0,2.0,7.0,24.0,23,14,hash_172
173,hash_173,CCCC,18.0,4.0,8.0,29.0,18,18,hash_173
174,hash_174,CCCCC,22.0,8.0,4.0,23.0,22,17,hash_174
175,hash_175,CCCCCC,23.0,6.0,4.0,24.0,23,15,hash_175
176,hash_176,CCCCCCC,21.0,3.0,3.0,33.0,21,13,hash_176
177,hash_177,CCCCCCCC,31.0,3.0,1.0,33.0,31,11,hash_177
178,hash_178,CCCCCCCCC,21.0,5.0,8.0,21.0,21,17,hash_178
179,hash_179,CCCCCCCCCC,18.0,2.0,2.0,21.0,18,8,hash_179
180,hash_180,C,18.0,9.0,4.0,33.0,18,20,hash_180
181,hash_181,CC,22.0,2.0,4.0,20.0,22,10,hash_181
182,hash_182,CCC,18.0,3.0,4.0,20.0,18,11,hash_182
183,hash_183,CCCC,18.0,4.0,6.0,21.0,18,14,hash_183
184,hash_184,CCCCC,19.0,11.0,6.0,31.0,19,23,hash_184
185,hash_185,CCCCCC,18.0,10.0,7.0,19.0,18,21,hash_185
186,hash_186,CCCCCCC,23.0,4.0,4.0,21.0,23,12,hash_186
187,hash_187,CCCCCCCC,16.0,3.0,2.0,23.0,16,10,hash_187
188,hash_188,CCCCCCCCC,26.0,5.0,4.0,25.0,26,14,hash_188
189,hash_189,CCCCCCCCCC,23.0,2.0,6.0,23.0,23,13,hash_189
190,hash_190,C,19.0,6.0,3.0,22.0,19,13,hash_190
191,hash_191,CC,18.0,5.0,9.0,22.0,18,18,hash_191
192,hash_192,CCC,13.0,3.0,0.0,27.0,13,8,hash_192
193,hash_193,CCCC,14.0,7.0,5.0,32.0,14,18,hash_193
194,hash_194,CCCCC,19.0,7.0,5.0,30.0,19,18,hash_194
195,hash_195,CCCCCC,17.0,5.0,2.0,25.0,17,12,hash_195
196,hash_196,CCCCCCC,25.0,4.0,5.0,28.0,25,15,hash_196
197,hash_197,CCCCCCCC,14.0,5.0,8.0,34.0,14,20,hash_197
198,hash_198,CCCCCCCCC,25.0,10.0,3.0,17.0,25,16,hash_198
199,hash_199,CCCCCCCCCC,20.0,5.0,1.0,25.0,20,11,hash_199
200,hash_200,C,19.0,3.0,5.0,18.0,19,12,hash_200
201,hash_201,CC,15.0,6.0,2.0,23.0,15,13,hash_201
202,hash_202,CCC,21.0,3.0,5.0,24.0,21,13,hash_202
203,hash_203,CCCC,27.0,7.0,0.0,26.0,27,12,hash_203
204,hash_204,CCCCC,17.0,5.0,7.0,31.0,17,18,hash_204
205,hash_205,CCCCCC,15.0,7.0,4.0,24.0,15,16,hash_205
206,hash_206,CCCCCCC,15.0,2.0,5.0,24.0,15,12,hash_206
207,hash_207,CCCCCCCC,18.0,1.0,6.0,20.0,18,11,hash_207
208,hash_208,CCCCCCCCC,21.0,8.0,3.0,20.0,21,15,hash_208
209,hash_209,CCCCCCCCCC,22.0,9.0,3.0,27.0,22,17,hash_209
210,hash_210,C,20.0,3.0,2.0,17.0,20,8,hash_210
211,hash_211,CC,35.0,1.0,7.0,21.0,35,12,hash_211
212,hash_212,CCC,18.0,5.0,6.0,23.0,18,16,hash_212
213,hash_213,CCCC,23.0,6.0,3.0,22.0,23,13,hash_213
214,hash_214,CCCCC,17.0,7.0,6.0,22.0,17,17,hash_214
215,hash_215,CCCCCC,20.0,2.0,3.0,27.0,20,10,hash_215
216,hash_216,CCCCCCC,16.0,4.0,3.0,32.0,16,13,hash_216
217,hash_217,CCCCCCCC,21.0,3.0,4.0,25.0,21,12,hash_217
218,hash_218,CCCCCCCCC,14.0,2.0,10.0,31.0,14,18,hash_218
219,hash_219,CCCCCCCCCC,23.0,4.0,6.0,23.0,23,15,hash_219
220,hash_220,C,21.0,4.0,8.0,16.0,21,15,hash_220
221,hash_221,CC,20.0,4.0,8.0,25.0,20,17,hash_221
222,hash_222,CCC,21.0,4.0,2.0,24.0,21,11,hash_222
223,hash_223,CCCC,20.0,4.0,5.0,28.0,20,15,hash_223
224,hash_224,CCCCC,26.0,5.0,2.0,29.0,26,13,hash_224
225,hash_225,CCCCCC,19.0,2.0,7.0,19.0,19,13,hash_225
226,hash_226,CCCCCCC,22.0,2.0,5.0,24.0,22,12,hash_226
227,hash_227,CCCCCCCC,19.0,4.0,6.0,30.0,19,16,hash_227
228,hash_228,CCCCCCCCC,22.0,6.0,8.0,27.0,22,19,hash_228
229,hash_229,CCCCCCCCCC,12.0,8.0,3.0,24.0,12,16,hash_229
230,hash_230,C,15.0,7.0,6.0,21.0,15,17,hash_230
231,hash_231,CC,21.0,3.0,4.0,32.0,21,13,hash_231
232,hash_232,CCC,21.0,5.0,4.0,19.0,21,13,hash_232
233,hash_233,CCCC,21.0,8.0,2.0,18.0,21,14,hash_233
234,hash_234,CCCCC,24.0,6.0,6.0,34.0,24,19,hash_234
235,hash_235,CCCCCC,25.0,3.0,4.0,23.0,25,12,hash_235
236,hash_236,CCCCCCC,18.0,6.0,7.0,28.0,18,19,hash_236
237,hash_237,CCCCCCCC,17.0,7.0,9.0,25.0,17,21,hash_237
238,hash_238,CCCCCCCCC,23.0,2.0,2.0,17.0,23,7,hash_238
239,hash_239,CCCCCCCCCC,20.0,5.0,7.0,23.0,20,17,hash_239
240,hash_240,C,19.0,2.0,5.0,23.0,19,12,hash_240
241,hash_241,CC,25.0,5.0,8.0,11.0,25,15,hash_241
242,hash_242,CCC,15.0,9.0,4.0,28.0,15,19,hash_242
243,hash_243,CCCC,19.0,6.0,2.0,24.0,19,13,hash_243
244,hash_244,CCCCC,19.0,4.0,5.0,20.0,19,13,hash_244
245,hash_245,CCCCCC,27.0,6.0,6.0,25.0,27,17,hash_245
246,hash_246,CCCCCCC,23.0,10.0,7.0,26.0,23,22,hash_246
247,hash_247,CCCCCCCC,17.0,7.0,3.0,22.0,17,14,hash_247
248,hash_248,CCCCCCCCC,23.0,3.0,3.0,32.0,23,12,hash_248
249,hash_249,CCCCCCCCCC,22.0,7.0,4.0,26.0,22,16,hash_249
250,hash_250,C,22.0,5.0,3.0,27.0,22,13,hash_250
251,hash_251,CC,19.0,4.0,10.0,22.0,19,18,hash_251
252,hash_252,CCC,17.0,8.0,3.0,29.0,17,17,hash_252
253,hash_253,CCCC,22.0,3.0,5.0,26.0,22,13,hash_253
254,hash_254,CCCCC,18.0,0.0,1.0,25.0,18,6,hash_254
255,hash_255,CCCCCC,26.0,5.0,6.0,23.0,26,16,hash_255
256,hash_256,CCCCCCC,21.0,4.0,3.0,25.0,21,12,hash_256
257,hash_257,CCCCCCCC,24.0,4.0,4.0,26.0,24,13,hash_257
258,hash_258,CCCCCCCCC,25.0,4.0,4.0,24.0,25,13,hash_258
259,hash_259,CCCCCCCCCC,23.0,5.0,6.0,31.0,23,17,hash_259
260,hash_260,C,14.0,7.0,7.0,29.0,14,20,hash_260
261,hash_261,CC,17.0,2.0,9.0,26.0,17,16,hash_261
262,hash_262,CCC,27.0,10.0,7.0,21.0,27,21,hash_262
263,hash_263,CCCC,18.0,3.0,9.0,24.0,18,17,hash_263
264,hash_264,CCCCC,28.0,2.0,4.0,26.0,28,11,hash_264
265,hash_265,CCCCCC,15.0,6.0,3.0,19.0,15,13,hash_265
266,hash_266,CCCCCCC,22.0,4.0,7.0,21.0,22,15,hash_266
267,hash_267,CCCCCCCC,16.0,2.0,4.0,17.0,16,9,hash_267
268,hash_268,CCCCCCCCC,19.0,7.0,10.0,18.0,19,21,hash_268
269,hash_269,CCCCCCCCCC,17.0,4.0,4.0,42.0,17,16,hash_269
270,hash_270,C,19.0,3.0,5.0,33.0,19,15,hash_270
271,hash_271,CC,20.0,4.0,5.0,26.0,20,14,hash_271
272,hash_272,CCC,25.0,7.0,6.0,30.0,25,19,hash_272
273,hash_273,CCCC,19.0,8.0,1.0,30.0,19,15,hash_273
274,hash_274,CCCCC,26.0,2.0,2.0,33.0,26,11,hash_274
275,hash_275,CCCCCC,21.0,6.0,6.0,22.0,21,16,hash_275
276,hash_276,CCCCCCC,21.0,6.0,4.0,26.0,21,15,hash_276
277,hash_277,CCCCCCCC,29.0,4.0,3.0,26.0,29,12,hash_277
278,hash_278,CCCCCCCCC,16.0,6.0,5.0,25.0,16,16,hash_278
279,hash_279,CCCCCCCCCC,17.0,7.0,5.0,26.0,17,17,hash_279
280,hash_280,C,17.0,5.0,7.0,27.0,17,17,hash_280
281,hash_281,CC,21.0,6.0,4.0,28.0,21,16,hash_281
282,hash_282,CCC,21.0,2.0,10.0,24.0,21,17,hash_282
283,hash_283,CCCC,23.0,1.0,3.0,31.0,23,10,hash_283
284,hash_284,CCCCC,19.0,5.0,10.0,15.0,19,18,hash_284
285,hash_285,CCCCCC,33.0,6.0,7.0,24.0,33,18,hash_285
286,hash_286,CCCCCCC,18.0,6.0,3.0,23.0,18,14,hash_286
287,hash_287,CCCCCCCC,22.0,8.0,5.0,24.0,22,18,hash_287
288,hash_288,CCCCCCCCC,17.0,3.0,6.0,26.0,17,14,hash_288
289,hash_289,CCCCCCCCCC,18.0,5.0,1.0,20.0,18,10,hash_289
290,hash_290,C,31.0,5.0,4.0,23.0,31,14,hash_290
291,hash_291,CC,21.0,9.0,6.0,26.0,21,20,hash_291
292,hash_292,CCC,21.0,6.0,8.0,25.0,21,19,hash_292
293,hash_293,CCCC,24.0,3.0,10.0,19.0,24,17,hash_293
294,hash_294,CCCCC,18.0,3.0,3.0,17.0,18,9,hash_294
295,hash_295,CCCCCC,29.0,7.0,4.0,19.0,29,15,hash_295
296,hash_296,CCCCCCC,28.0,4.0,8.0,22.0,28,16,hash_296
297,hash_297,CCCCCCCC,14.0,6.0,4.0,25.0,14,15,hash_297
298,hash_298,CCCCCCCCC,22.0,3.0,3.0,19.0,22,10,hash_298
299,hash_299,CCCCCCCCCC,30.0,4.0,2.0,26.0,30,11,hash_299
300,hash_300,C,21.0,6.0,6.0,20.0,21,16,hash_300
301,hash_301,CC,14.0,4.0,5.0,27.0,14,14,hash_301
302,hash_302,CCC,29.0,4.0,5.0,23.0,29,14,hash_302
303,hash_303,CCCC,18.0,5.0,5.0,28.0,18,16,hash_303
304,hash_304,CCCCC,25.0,8.0,4.0,33.0,25,19,hash_304
305,hash_305,CCCCCC,27.0,8.0,2.0,28.0,27,16,hash_305
306,hash_306,CCCCCCC,28.0,5.0,9.0,27.0,28,19,hash_306
307,hash_307,CCCCCCCC,25.0,4.0,6.0,25.0,25,15,hash_307
308,hash_308,CCCCCCCCC,20.0,7.0,3.0,31.0,20,16,hash_308
309,hash_309,CCCCCCCCCC,15.0,4.0,3.0,21.0,15,11,hash_309
310,hash_310,C,21.0,6.0,4.0,31.0,21,16,hash_310
311,hash_311,CC,23.0,4.0,5.0,23.0,23,14,hash_311
312,hash_312,CCC,21.0,6.0,1.0,25.0,21,12,hash_312
313,hash_313,CCCC,10.0,3.0,4.0,31.0,10,13,hash_313
314,hash_314,CCCCC,22.0,6.0,4.0,27.0,22,15,hash_314
315,hash_315,CCCCCC,22.0,5.0,9.0,23.0,22,19,hash_315
316,hash_316,CCCCCCC,26.0,5.0,3.0,24.0,26,13,hash_316
317,hash_317,CCCCCCCC,20.0,5.0,8.0,24.0,20,18,hash_317
318,hash_318,CCCCCCCCC,17.0,5.0,7.0,19.0,17,16,hash_318
319,hash_319,CCCCCCCCCC,21.0,9.0,3.0,25.0,21,17,hash_319
320,hash_320,C,14.0,6.0,3.0,20.0,14,13,hash_320
321,hash_321,CC,17.0,5.0,4.0,25.0,17,14,hash_321
322,hash_322,CCC,24.0,6.0,4.0,27.0,24,15,hash_322
323,hash_323,CCCC,20.0,4.0,5.0,22.0,20,13,hash_323
324,hash_324,CCCCC,18.0,6.0,3.0,23.0,18,14,hash_324
325,hash_325,CCCCCC,26.0,3.0,4.0,23.0,26,12,hash_325
326,hash_326,CCCCCCC,12.0,7.0,6.0,27.0,12,18,hash_326
327,hash_327,CCCCCCCC,20.0,5.0,7.0,18.0,20,16,hash_327
328,hash_328,CCCCCCCCC,22.0,4.0,7.0,30.0,22,17,hash_328
329,hash_329,CCCCCCCCCC,19.0,7.0,5.0,23.0,19,17,hash_329
330,hash_330,C,19.0,5.0,1.0,22.0,19,10,hash_330
331,hash_331,CC,21.0,5.0,7.0,39.0,21,20,hash_331
332,hash_332,CCC,17.0,5.0,3.0,22.0,17,12,hash_332
333,hash_333,CCCC,22.0,4.0,5.0,19.0,22,13,hash_333
334,hash_334,CCCCC,28.0,6.0,5.0,20.0,28,15,hash_334
335,hash_335,CCCCCC,18.0,6.0,4.0,18.0,18,14,hash_335
336,hash_336,CCCCCCC,23.0,3.0,6.0,23.0,23,14,hash_336
337,hash_337,CCCCCCCC,13.0,5.0,9.0,36.0,13,21,hash_337
338,hash_338,CCCCCCCCC,14.0,7.0,5.0,32.0,14,18,hash_338
339,hash_339,CCCCCCCCCC,29.0,5.0,5.0,34.0,29,17,hash_339
340,hash_340,C,18.0,8.0,3.0,26.0,18,16,hash_340
341,hash_341,CC,23.0,6.0,6.0,22.0,23,16,hash_341
342,hash_342,CCC,19.0,3.0,3.0,24.0,19,11,hash_342
343,hash_343,CCCC,19.0,3.0,4.0,26.0,19,12,hash_343
344,hash_344,CCCCC,28.0,2.0,10.0,23.0,28,17,hash_344
345,hash_345,CCCCCC,20.0,2.0,1.0,39.0,20,11,hash_345
346,hash_346,CCCCCCC,10.0,2.0,5.0,22.0,10,11,hash_346
347,hash_347,CCCCCCCC,25.0,6.0,9.0,29.0,25,21,hash_347
348,hash_348,CCCCCCCCC,23.0,6.0,9.0,23.0,23,20,hash_348
349,hash_349,CCCCCCCCCC,18.0,7.0,5.0,31.0,18,18,hash_349
350,hash_350,C,15.0,6.0,7.0,26.0,15,18,hash_350
351,hash_351,CC,16.0,5.0,5.0,26.0,16,15,hash_351
352,hash_352,CCC,8.0,4.0,2.0,25.0,8,11,hash_352
353,hash_353,CCCC,20.0,4.0,3.0,29.0,20,13,hash_353
354,hash_354,CCCCC,22.0,6.0,5.0,27.0,22,16,hash_354
355,hash_355,CCCCCC,16.0,6.0,3.0,28.0,16,15,hash_355
356,hash_356,CCCCCCC,16.0,6.0,6.0,25.0,16,17,hash_356
357,hash_357,CCCCCCCC,30.0,4.0,4.0,24.0,30,13,hash_357
358,hash_358,CCCCCCCCC,20.0,7.0,3.0,27.0,20,15,hash_358
359,hash_359,CCCCCCCCCC,17.0,5.0,4.0,36.0,17,16,hash_359
