molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3
hash_50,C,20,4,4,30
hash_51,CC,15,5,9,28
hash_52,CCC,28,6,3,23
hash_53,CCCC,26,2,9,28
hash_54,CCCCC,18,4,8,22
hash_55,CCCCCC,21,4,7,30
hash_56,CCCCCCC,22,3,5,21
hash_57,CCCCCCCC,18,5,4,25
hash_58,CCCCCCCCC,23,5,2,16
hash_59,CCCCCCCCCC,23,9,6,25
hash_60,C,21,10,6,31
hash_61,CC,15,7,5,24
hash_62,CCC,16,2,8,20
hash_63,CCCC,21,4,3,28
hash_64,CCCCC,20,8,7,18
hash_65,CCCCCC,30,4,4,18
hash_66,CCCCCCC,23,5,2,35
hash_67,CCCCCCCC,19,5,1,30
hash_68,CCCCCCCCC,19,4,5,31
hash_69,CCCCCCCCCC,25,2,3,15
hash_70,C,26,8,5,28
hash_71,CC,15,5,9,26
hash_72,CCC,27,4,5,28
hash_73,CCCC,24,3,8,28
hash_74,CCCCC,18,8,5,33
hash_75,CCCCCC,13,3,4,30
hash_76,CCCCCCC,19,4,8,32
hash_77,CCCCCCCC,18,7,8,26
hash_78,CCCCCCCCC,18,3,4,14
hash_79,CCCCCCCCCC,18,3,4,31
hash_80,C,16,8,10,33
hash_81,CC,27,4,6,29
hash_82,CCC,25,6,10,23
hash_83,CCCC,19,5,4,28
hash_84,CCCCC,10,3,3,15
hash_85,CCCCCC,19,2,5,24
hash_86,CCCCCCC,16,7,3,24
hash_87,CCCCCCCC,18,2,5,23
hash_88,CCCCCCCCC,21,6,3,24
hash_89,CCCCCCCCCC,14,4,7,34
hash_90,C,21,5,6,20
hash_91,CC,27,9,6,27
hash_92,CCC,20,2,3,22
hash_93,CCCC,24,5,5,21
hash_94,CCCCC,21,3,3,23
hash_95,CCCCCC,18,7,5,24
hash_96,CCCCCCC,24,4,10,33
hash_97,CCCCCCCC,25,11,4,20
hash_98,CCCCCCCCC,30,10,3,27
hash_99,CCCCCCCCCC,24,1,2,26
hash_100,C,20,3,8,26
hash_101,CC,21,3,6,29
hash_102,CCC,23,3,12,22
hash_103,CCCC,22,6,5,22
hash_104,CCCCC,27,2,1,23
hash_105,CCCCCC,20,3,4,26
hash_106,CCCCCCC,23,4,6,33
hash_107,CCCCCCCC,21,7,3,19
hash_108,CCCCCCCCC,13,6,3,23
hash_109,CCCCCCCCCC,19,1,8,22
hash_110,C,20,3,5,22
hash_111,CC,24,4,4,29
hash_112,CCC,21,3,6,23
hash_113,CCCC,22,2,7,30
hash_114,CCCCC,20,4,5,24
hash_115,CCCCCC,27,6,6,24
hash_116,CCCCCCC,20,4,2,28
hash_117,CCCCCCCC,21,5,4,21
hash_118,CCCCCCCCC,18,7,2,16
hash_119,CCCCCCCCCC,29,2,5,24
hash_120,C,15,9,7,27
hash_121,CC,20,5,7,14
hash_122,CCC,22,8,2,18
hash_123,CCCC,24,4,4,31
hash_124,CCCCC,22,5,7,17
hash_125,CCCCCC,26,5,5,27
hash_126,CCCCCCC,17,6,4,26
hash_127,CCCCCCCC,23,4,7,23
hash_128,CCCCCCCCC,19,6,5,27
hash_129,CCCCCCCCCC,21,6,2,25
hash_130,C,18,6,5,25
hash_131,CC,13,5,6,30
hash_132,CCC,19,1,6,23
hash_133,CCCC,19,3,2,22
hash_134,CCCCC,16,2,5,23
hash_135,CCCCCC,20,11,5,22
hash_136,CCCCCCC,28,8,5,23
hash_137,CCCCCCCC,17,5,5,34
hash_138,CCCCCCCCC,20,0,2,27
hash_139,CCCCCCCCCC,15,2,8,20
hash_140,C,18,4,8,29
hash_141,CC,22,1,7,31
hash_142,CCC,12,2,4,28
hash_143,CCCC,24,6,7,22
hash_144,CCCCC,23,5,8,26
hash_145,CCCCCC,26,7,6,21
hash_146,CCCCCCC,19,7,5,26
hash_147,CCCCCCCC,19,7,3,20
hash_148,CCCCCCCCC,15,8,3,18
hash_149,CCCCCCCCCC,13,6,2,27
hash_150,C,29,3,5,20
hash_151,CC,18,1,4,19
hash_152,CCC,18,4,6,29
hash_153,CCCC,24,4,3,15
hash_154,CCCCC,23,4,3,19
hash_155,CCCCCC,20,4,10,26
hash_156,CCCCCCC,20,10,1,22
hash_157,CCCCCCCC,21,3,7,32
hash_158,CCCCCCCCC,20,2,4,34
hash_159,CCCCCCCCCC,19,2,12,25
hash_160,C,23,4,4,27
hash_161,CC,26,4,4,22
hash_162,CCC,16,8,2,30
hash_163,CCCC,31,5,4,26
hash_164,CCCCC,17,11,4,23
hash_165,CCCCCC,14,4,6,22
hash_166,CCCCCCC,24,4,8,21
hash_167,CCCCCCCC,21,6,3,27
hash_168,CCCCCCCCC,22,2,4,23
hash_169,CCCCCCCCCC,18,2,2,22
hash_170,C,18,3,3,18
hash_171,CC,20,4,3,20
hash_172,CCC,23,2,7,24
hash_173,CCCC,18,4,8,29
hash_174,CCCCC,22,8,4,23
hash_175,CCCCCC,23,6,4,24
hash_176,CCCCCCC,21,3,3,33
hash_177,CCCCCCCC,31,3,1,33
hash_178,CCCCCCCCC,21,5,8,21
hash_179,CCCCCCCCCC,18,2,2,21
hash_180,C,18,9,4,33
hash_181,CC,22,2,4,20
hash_182,CCC,18,3,4,20
hash_183,CCCC,18,4,6,21
hash_184,CCCCC,19,11,6,31
hash_185,CCCCCC,18,10,7,19
hash_186,CCCCCCC,23,4,4,21
hash_187,CCCCCCCC,16,3,2,23
hash_188,CCCCCCCCC,26,5,4,25
hash_189,CCCCCCCCCC,23,2,6,23
hash_190,C,19,6,3,22
hash_191,CC,18,5,9,22
hash_192,CCC,13,3,0,27
hash_193,CCCC,14,7,5,32
hash_194,CCCCC,19,7,5,30
hash_195,CCCCCC,17,5,2,25
hash_196,CCCCCCC,25,4,5,28
hash_197,CCCCCCCC,14,5,8,34
hash_198,CCCCCCCCC,25,10,3,17
hash_199,CCCCCCCCCC,20,5,1,25
hash_200,C,19,3,5,18
hash_201,CC,15,6,2,23
hash_202,CCC,21,3,5,24
hash_203,CCCC,27,7,0,26
hash_204,CCCCC,17,5,7,31
hash_205,CCCCCC,15,7,4,24
hash_206,CCCCCCC,15,2,5,24
hash_207,CCCCCCCC,18,1,6,20
hash_208,CCCCCCCCC,21,8,3,20
hash_209,CCCCCCCCCC,22,9,3,27
hash_210,C,20,3,2,17
hash_211,CC,35,1,7,21
hash_212,CCC,18,5,6,23
hash_213,CCCC,23,6,3,22
hash_214,CCCCC,17,7,6,22
hash_215,CCCCCC,20,2,3,27
hash_216,CCCCCCC,16,4,3,32
hash_217,CCCCCCCC,21,3,4,25
hash_218,CCCCCCCCC,14,2,10,31
hash_219,CCCCCCCCCC,23,4,6,23
hash_220,C,21,4,8,16
hash_221,CC,20,4,8,25
hash_222,CCC,21,4,2,24
hash_223,CCCC,20,4,5,28
hash_224,CCCCC,26,5,2,29
hash_225,CCCCCC,19,2,7,19
hash_226,CCCCCCC,22,2,5,24
hash_227,CCCCCCCC,19,4,6,30
hash_228,CCCCCCCCC,22,6,8,27
hash_229,CCCCCCCCCC,12,8,3,24
hash_230,C,15,7,6,21
hash_231,CC,21,3,4,32
hash_232,CCC,21,5,4,19
hash_233,CCCC,21,8,2,18
hash_234,CCCCC,24,6,6,34
hash_235,CCCCCC,25,3,4,23
hash_236,CCCCCCC,18,6,7,28
hash_237,CCCCCCCC,17,7,9,25
hash_238,CCCCCCCCC,23,2,2,17
hash_239,CCCCCCCCCC,20,5,7,23
hash_240,C,19,2,5,23
hash_241,CC,25,5,8,11
hash_242,CCC,15,9,4,28
hash_243,CCCC,19,6,2,24
hash_244,CCCCC,19,4,5,20
hash_245,CCCCCC,27,6,6,25
hash_246,CCCCCCC,23,10,7,26
hash_247,CCCCCCCC,17,7,3,22
hash_248,CCCCCCCCC,23,3,3,32
hash_249,CCCCCCCCCC,22,7,4,26
hash_250,C,22,5,3,27
hash_251,CC,19,4,10,22
hash_252,CCC,17,8,3,29
hash_253,CCCC,22,3,5,26
hash_254,CCCCC,18,0,1,25
hash_255,CCCCCC,26,5,6,23
hash_256,CCCCCCC,21,4,3,25
hash_257,CCCCCCCC,24,4,4,26
hash_258,CCCCCCCCC,25,4,4,24
hash_259,CCCCCCCCCC,23,5,6,31
hash_260,C,14,7,7,29
hash_261,CC,17,2,9,26
hash_262,CCC,27,10,7,21
hash_263,CCCC,18,3,9,24
hash_264,CCCCC,28,2,4,26
hash_265,CCCCCC,15,6,3,19
hash_266,CCCCCCC,22,4,7,21
hash_267,CCCCCCCC,16,2,4,17
hash_268,CCCCCCCCC,19,7,10,18
hash_269,CCCCCCCCCC,17,4,4,42
hash_270,C,19,3,5,33
hash_271,CC,20,4,5,26
hash_272,CCC,25,7,6,30
hash_273,CCCC,19,8,1,30
hash_274,CCCCC,26,2,2,33
hash_275,CCCCCC,21,6,6,22
hash_276,CCCCCCC,21,6,4,26
hash_277,CCCCCCCC,29,4,3,26
hash_278,CCCCCCCCC,16,6,5,25
hash_279,CCCCCCCCCC,17,7,5,26
hash_280,C,17,5,7,27
hash_281,CC,21,6,4,28
hash_282,CCC,21,2,10,24
hash_283,CCCC,23,1,3,31
hash_284,CCCCC,19,5,10,15
hash_285,CCCCCC,33,6,7,24
hash_286,CCCCCCC,18,6,3,23
hash_287,CCCCCCCC,22,8,5,24
hash_288,CCCCCCCCC,17,3,6,26
hash_289,CCCCCCCCCC,18,5,1,20
hash_290,C,31,5,4,23
hash_291,CC,21,9,6,26
hash_292,CCC,21,6,8,25
hash_293,CCCC,24,3,10,19
hash_294,CCCCC,18,3,3,17
hash_295,CCCCCC,29,7,4,19
hash_296,CCCCCCC,28,4,8,22
hash_297,CCCCCCCC,14,6,4,25
hash_298,CCCCCCCCC,22,3,3,19
hash_299,CCCCCCCCCC,30,4,2,26
hash_300,C,21,6,6,20
hash_301,CC,14,4,5,27
hash_302,CCC,29,4,5,23
hash_303,CCCC,18,5,5,28
hash_304,CCCCC,25,8,4,33
hash_305,CCCCCC,27,8,2,28
hash_306,CCCCCCC,28,5,9,27
hash_307,CCCCCCCC,25,4,6,25
hash_308,CCCCCCCCC,20,7,3,31
hash_309,CCCCCCCCCC,15,4,3,21
hash_310,C,21,6,4,31
hash_311,CC,23,4,5,23
hash_312,CCC,21,6,1,25
hash_313,CCCC,10,3,4,31
hash_314,CCCCC,22,6,4,27
hash_315,CCCCCC,22,5,9,23
hash_316,CCCCCCC,26,5,3,24
hash_317,CCCCCCCC,20,5,8,24
hash_318,CCCCCCCCC,17,5,7,19
hash_319,CCCCCCCCCC,21,9,3,25
hash_320,C,14,6,3,20
hash_321,CC,17,5,4,25
hash_322,CCC,24,6,4,27
hash_323,CCCC,20,4,5,22
hash_324,CCCCC,18,6,3,23
hash_325,CCCCCC,26,3,4,23
hash_326,CCCCCCC,12,7,6,27
hash_327,CCCCCCCC,20,5,7,18
hash_328,CCCCCCCCC,22,4,7,30
hash_329,CCCCCCCCCC,19,7,5,23
hash_330,C,19,5,1,22
hash_331,CC,21,5,7,39
hash_332,CCC,17,5,3,22
hash_333,CCCC,22,4,5,19
hash_334,CCCCC,28,6,5,20
hash_335,CCCCCC,18,6,4,18
hash_336,CCCCCCC,23,3,6,23
hash_337,CCCCCCCC,13,5,9,36
hash_338,CCCCCCCCC,14,7,5,32
hash_339,CCCCCCCCCC,29,5,5,34
hash_340,C,18,8,3,26
hash_341,CC,23,6,6,22
hash_342,CCC,19,3,3,24
hash_343,CCCC,19,3,4,26
hash_344,CCCCC,28,2,10,23
hash_345,CCCCCC,20,2,1,39
hash_346,CCCCCCC,10,2,5,22
hash_347,CCCCCCCC,25,6,9,29
hash_348,CCCCCCCCC,23,6,9,23
hash_349,CCCCCCCCCC,18,7,5,31
hash_350,C,15,6,7,26
hash_351,CC,16,5,5,26
hash_352,CCC,8,4,2,25
hash_353,CCCC,20,4,3,29
hash_354,CCCCC,22,6,5,27
hash_355,CCCCCC,16,6,3,28
hash_356,CCCCCCC,16,6,6,25
hash_357,CCCCCCCC,30,4,4,24
hash_358,CCCCCCCCC,20,7,3,27
hash_359,CCCCCCCCCC,17,5,4,36
hash_360,C,30,4,2,24
hash_361,CC,35,6,3,24
hash_362,CCC,20,8,7,39
hash_363,CCCC,15,5,4,20
hash_364,CCCCC,19,2,1,23
hash_365,CCCCCC,18,4,2,21
hash_366,CCCCCCC,19,5,5,17
hash_367,CCCCCCCC,17,1,2,25
hash_368,CCCCCCCCC,16,2,2,35
hash_369,CCCCCCCCCC,25,5,3,28
hash_370,C,26,6,0,20
hash_371,CC,11,11,10,36
hash_372,CCC,19,4,3,21
hash_373,CCCC,21,7,3,41
hash_374,CCCCC,24,7,7,25
hash_375,CCCCCC,19,7,2,16
hash_376,CCCCCCC,20,7,2,25
hash_377,CCCCCCCC,21,6,5,25
hash_378,CCCCCCCCC,22,10,8,20
hash_379,CCCCCCCCCC,21,2,9,33
hash_380,C,18,7,3,17
hash_381,CC,20,5,8,29
hash_382,CCC,20,5,2,35
hash_383,CCCC,13,13,7,30
hash_384,CCCCC,24,3,7,31
hash_385,CCCCCC,20,3,4,27
hash_386,CCCCCCC,18,5,5,20
hash_387,CCCCCCCC,16,4,3,29
hash_388,CCCCCCCCC,24,3,4,25
hash_389,CCCCCCCCCC,21,10,6,20
hash_390,C,23,1,7,28
hash_391,CC,22,8,9,33
hash_392,CCC,20,4,6,21
hash_393,CCCC,16,8,8,28
hash_394,CCCCC,21,4,4,20
hash_395,CCCCCC,15,3,4,27
hash_396,CCCCCCC,24,8,6,31
hash_397,CCCCCCCC,25,8,4,25
hash_398,CCCCCCCCC,18,2,6,29
hash_399,CCCCCCCCCC,20,6,6,17
hash_400,C,27,5,8,24
hash_401,CC,24,8,6,24
hash_402,CCC,17,6,8,24
hash_403,CCCC,12,4,9,26
hash_404,CCCCC,22,3,7,26
hash_405,CCCCCC,21,0,4,25
hash_406,CCCCCCC,22,2,7,24
hash_407,CCCCCCCC,14,7,6,30
hash_408,CCCCCCCCC,21,7,4,18
hash_409,CCCCCCCCCC,22,2,2,23
hash_410,C,31,4,2,33
hash_411,CC,20,1,3,25
hash_412,CCC,21,6,7,27
hash_413,CCCC,19,9,3,31
hash_414,CCCCC,20,6,5,22
hash_415,CCCCCC,26,4,5,23
hash_416,CCCCCCC,21,4,3,31
hash_417,CCCCCCCC,18,4,9,23
hash_418,CCCCCCCCC,18,6,8,35
hash_419,CCCCCCCCCC,12,3,3,15
hash_420,C,21,5,4,40
hash_421,CC,19,2,5,25
hash_422,CCC,28,10,8,25
hash_423,CCCC,20,1,5,23
hash_424,CCCCC,24,2,2,22
hash_425,CCCCCC,20,4,3,29
hash_426,CCCCCCC,23,9,6,32
hash_427,CCCCCCCC,21,8,2,23
hash_428,CCCCCCCCC,21,2,5,29
hash_429,CCCCCCCCCC,12,7,4,22
hash_430,C,14,4,7,21
hash_431,CC,16,5,8,23
hash_432,CCC,22,4,1,21
hash_433,CCCC,14,6,4,31
hash_434,CCCCC,17,7,7,29
hash_435,CCCCCC,20,7,3,30
hash_436,CCCCCCC,18,7,3,24
hash_437,CCCCCCCC,17,1,5,27
hash_438,CCCCCCCCC,21,2,7,29
hash_439,CCCCCCCCCC,24,5,5,19
hash_440,C,18,1,8,27
hash_441,CC,29,4,4,36
hash_442,CCC,10,4,2,34
hash_443,CCCC,16,8,5,23
hash_444,CCCCC,13,6,6,38
hash_445,CCCCCC,26,2,7,23
hash_446,CCCCCCC,23,4,6,14
hash_447,CCCCCCCC,19,4,6,29
hash_448,CCCCCCCCC,26,8,5,23
hash_449,CCCCCCCCCC,28,6,1,23
hash_450,C,10,4,6,20
hash_451,CC,17,5,3,24
hash_452,CCC,24,4,4,22
hash_453,CCCC,17,4,5,23
hash_454,CCCCC,19,5,9,26
hash_455,CCCCCC,27,6,4,23
hash_456,CCCCCCC,30,9,5,20
hash_457,CCCCCCCC,23,7,8,30
hash_458,CCCCCCCCC,22,4,5,27
hash_459,CCCCCCCCCC,11,2,6,21
hash_460,C,18,12,7,22
hash_461,CC,22,5,4,30
hash_462,CCC,20,4,2,20
hash_463,CCCC,18,4,8,26
hash_464,CCCCC,12,8,2,22
hash_465,CCCCCC,19,7,5,14
hash_466,CCCCCCC,25,3,4,22
hash_467,CCCCCCCC,25,4,5,30
hash_468,CCCCCCCCC,16,5,5,19
hash_469,CCCCCCCCCC,22,5,5,24
hash_470,C,21,5,5,24
hash_471,CC,15,5,8,22
hash_472,CCC,13,3,6,30
hash_473,CCCC,27,4,3,23
hash_474,CCCCC,26,2,4,24
hash_475,CCCCCC,20,2,5,18
hash_476,CCCCCCC,19,2,5,14
hash_477,CCCCCCCC,23,7,2,28
hash_478,CCCCCCCCC,27,7,3,20
hash_479,CCCCCCCCCC,10,4,4,22
hash_480,C,16,6,6,23
hash_481,CC,18,4,4,26
hash_482,CCC,19,5,6,25
hash_483,CCCC,18,3,6,27
hash_484,CCCCC,19,1,3,23
hash_485,CCCCCC,20,5,5,29
hash_486,CCCCCCC,14,3,4,21
hash_487,CCCCCCCC,16,2,4,20
hash_488,CCCCCCCCC,15,3,3,32
hash_489,CCCCCCCCCC,14,5,2,27
hash_490,C,13,3,5,27
hash_491,CC,22,9,4,26
hash_492,CCC,15,9,8,20
hash_493,CCCC,19,2,4,19
hash_494,CCCCC,18,4,5,24
hash_495,CCCCCC,19,6,11,20
hash_496,CCCCCCC,18,3,5,23
hash_497,CCCCCCCC,21,2,2,29
hash_498,CCCCCCCCC,20,3,5,16
hash_499,CCCCCCCCCC,28,6,6,26
hash_500,C,22,4,5,14
hash_501,CC,27,3,3,18
hash_502,CCC,27,3,2,19
hash_503,CCCC,27,6,6,19
hash_504,CCCCC,15,5,5,29
hash_505,CCCCCC,21,4,8,30
hash_506,CCCCCCC,26,7,5,28
hash_507,CCCCCCCC,19,2,3,22
hash_508,CCCCCCCCC,22,5,4,29
hash_509,CCCCCCCCCC,28,3,5,29
hash_510,C,18,3,6,18
hash_511,CC,23,12,8,24
hash_512,CCC,26,7,7,21
hash_513,CCCC,15,2,5,27
hash_514,CCCCC,21,2,9,25
hash_515,CCCCCC,30,9,3,28
hash_516,CCCCCCC,15,2,3,27
hash_517,CCCCCCCC,15,5,6,18
hash_518,CCCCCCCCC,24,5,4,27
hash_519,CCCCCCCCCC,12,11,7,18
hash_520,C,24,1,7,28
hash_521,CC,15,5,4,23
hash_522,CCC,21,8,6,29
hash_523,CCCC,24,4,2,23
hash_524,CCCCC,15,6,6,26
hash_525,CCCCCC,26,3,9,14
hash_526,CCCCCCC,14,1,5,22
hash_527,CCCCCCCC,25,5,9,21
hash_528,CCCCCCCCC,24,4,8,31
hash_529,CCCCCCCCCC,19,2,5,28
hash_530,C,15,7,4,26
hash_531,CC,22,3,12,20
hash_532,CCC,17,6,6,26
hash_533,CCCC,22,6,5,27
hash_534,CCCCC,24,7,6,24
hash_535,CCCCCC,18,6,8,28
hash_536,CCCCCCC,21,3,3,28
hash_537,CCCCCCCC,16,4,6,21
hash_538,CCCCCCCCC,21,3,2,26
hash_539,CCCCCCCCCC,12,3,9,21
hash_540,C,19,5,0,23
hash_541,CC,25,7,7,24
hash_542,CCC,24,7,6,33
hash_543,CCCC,23,6,5,23
hash_544,CCCCC,10,6,8,29
hash_545,CCCCCC,17,8,4,27
hash_546,CCCCCCC,18,4,7,27
hash_547,CCCCCCCC,21,3,8,30
hash_548,CCCCCCCCC,25,5,2,29
hash_549,CCCCCCCCCC,20,4,5,17
hash_550,C,14,7,1,23
hash_551,CC,19,6,8,17
hash_552,CCC,22,2,3,32
hash_553,CCCC,21,6,9,16
hash_554,CCCCC,21,3,3,28
hash_555,CCCCCC,28,2,5,18
hash_556,CCCCCCC,24,8,7,16
hash_557,CCCCCCCC,21,5,5,24
hash_558,CCCCCCCCC,17,10,3,29
hash_559,CCCCCCCCCC,20,4,8,18
hash_560,C,22,4,3,25
hash_561,CC,17,3,6,28
hash_562,CCC,27,6,2,15
hash_563,CCCC,17,5,4,26
hash_564,CCCCC,14,9,13,26
hash_565,CCCCCC,19,7,7,27
hash_566,CCCCCCC,28,7,6,33
hash_567,CCCCCCCC,22,5,2,22
hash_568,CCCCCCCCC,18,3,4,23
hash_569,CCCCCCCCCC,20,8,3,26
hash_570,C,16,5,3,30
hash_571,CC,17,5,7,31
hash_572,CCC,32,5,5,31
hash_573,CCCC,21,4,6,17
hash_574,CCCCC,21,5,7,26
hash_575,CCCCCC,26,4,7,28
hash_576,CCCCCCC,25,6,4,34
hash_577,CCCCCCCC,19,4,4,18
hash_578,CCCCCCCCC,18,3,8,30
hash_579,CCCCCCCCCC,27,5,3,28
hash_580,C,14,7,2,21
hash_581,CC,29,3,6,27
hash_582,CCC,21,2,2,21
hash_583,CCCC,21,8,3,25
hash_584,CCCCC,21,3,8,27
hash_585,CCCCCC,20,4,3,23
hash_586,CCCCCCC,11,7,4,28
hash_587,CCCCCCCC,20,4,5,24
hash_588,CCCCCCCCC,19,3,3,26
hash_589,CCCCCCCCCC,23,5,4,23
hash_590,C,20,4,4,19
hash_591,CC,22,4,3,24
hash_592,CCC,25,5,4,27
hash_593,CCCC,11,8,8,19
hash_594,CCCCC,12,7,7,25
hash_595,CCCCCC,24,6,6,22
hash_596,CCCCCCC,25,3,1,23
hash_597,CCCCCCCC,17,4,3,28
hash_598,CCCCCCCCC,20,4,2,18
hash_599,CCCCCCCCCC,19,10,9,26
hash_600,C,22,6,6,24
hash_601,CC,20,3,6,21
hash_602,CCC,21,9,6,24
hash_603,CCCC,16,5,4,27
hash_604,CCCCC,15,10,1,27
hash_605,CCCCCC,16,6,4,36
hash_606,CCCCCCC,19,8,5,27
hash_607,CCCCCCCC,19,5,3,28
hash_608,CCCCCCCCC,15,8,2,29
hash_609,CCCCCCCCCC,26,6,2,25
hash_610,C,17,2,5,25
hash_611,CC,16,3,5,25
hash_612,CCC,16,1,4,20
hash_613,CCCC,27,4,4,29
hash_614,CCCCC,12,5,4,27
hash_615,CCCCCC,21,0,6,16
hash_616,CCCCCCC,26,2,2,28
hash_617,CCCCCCCC,20,7,3,30
hash_618,CCCCCCCCC,18,1,6,29
hash_619,CCCCCCCCCC,16,6,2,11
hash_620,C,18,5,6,18
hash_621,CC,19,4,5,25
hash_622,CCC,20,3,6,18
hash_623,CCCC,25,5,4,16
hash_624,CCCCC,26,3,6,35
hash_625,CCCCCC,23,5,8,21
hash_626,CCCCCCC,20,6,3,25
hash_627,CCCCCCCC,21,4,5,34
hash_628,CCCCCCCCC,28,8,8,23
hash_629,CCCCCCCCCC,14,10,4,17
hash_630,C,21,3,1,25
hash_631,CC,20,4,4,22
hash_632,CCC,13,5,7,14
hash_633,CCCC,22,7,6,25
hash_634,CCCCC,20,4,2,24
hash_635,CCCCCC,20,3,6,20
hash_636,CCCCCCC,23,2,3,24
hash_637,CCCCCCCC,29,1,5,26
hash_638,CCCCCCCCC,15,1,2,31
hash_639,CCCCCCCCCC,20,2,5,29
hash_640,C,22,3,3,27
hash_641,CC,17,8,6,26
hash_642,CCC,30,5,3,26
hash_643,CCCC,27,5,4,32
hash_644,CCCCC,11,5,8,25
hash_645,CCCCCC,21,4,7,19
hash_646,CCCCCCC,19,9,3,25
hash_647,CCCCCCCC,16,7,6,29
hash_648,CCCCCCCCC,21,4,6,23
hash_649,CCCCCCCCCC,25,6,2,18
hash_650,C,23,3,3,33
hash_651,CC,18,6,9,26
hash_652,CCC,23,9,4,30
hash_653,CCCC,14,5,4,17
hash_654,CCCCC,26,7,11,23
hash_655,CCCCCC,26,4,2,21
hash_656,CCCCCCC,24,6,4,33
hash_657,CCCCCCCC,22,4,8,23
hash_658,CCCCCCCCC,24,2,6,33
hash_659,CCCCCCCCCC,27,5,5,31
hash_660,C,32,10,5,26
hash_661,CC,27,7,3,27
hash_662,CCC,22,4,4,31
hash_663,CCCC,23,6,4,21
hash_664,CCCCC,19,5,8,28
hash_665,CCCCCC,23,5,10,24
hash_666,CCCCCCC,18,4,5,34
hash_667,CCCCCCCC,26,10,4,24
hash_668,CCCCCCCCC,18,5,7,21
hash_669,CCCCCCCCCC,22,8,7,26
hash_670,C,19,9,11,31
hash_671,CC,14,3,6,24
hash_672,CCC,24,5,3,31
hash_673,CCCC,25,4,4,21
hash_674,CCCCC,20,2,8,26
hash_675,CCCCCC,19,4,9,18
hash_676,CCCCCCC,26,7,1,36
hash_677,CCCCCCCC,23,8,6,26
hash_678,CCCCCCCCC,18,5,2,25
hash_679,CCCCCCCCCC,21,4,2,23
hash_680,C,18,7,6,24
hash_681,CC,19,4,3,30
hash_682,CCC,19,3,8,30
hash_683,CCCC,30,0,2,26
hash_684,CCCCC,19,9,3,26
hash_685,CCCCCC,27,4,3,37
hash_686,CCCCCCC,16,2,4,21
hash_687,CCCCCCCC,27,3,5,18
hash_688,CCCCCCCCC,25,5,5,29
hash_689,CCCCCCCCCC,22,4,7,25
hash_690,C,25,7,4,31
hash_691,CC,26,14,2,25
hash_692,CCC,17,2,4,24
hash_693,CCCC,25,3,4,21
hash_694,CCCCC,12,2,3,23
hash_695,CCCCCC,20,6,8,31
hash_696,CCCCCCC,34,1,6,41
hash_697,CCCCCCCC,14,4,3,27
hash_698,CCCCCCCCC,31,6,9,31
hash_699,CCCCCCCCCC,22,4,7,18
hash_700,C,19,8,3,27
hash_701,CC,21,4,3,18
hash_702,CCC,14,4,6,25
hash_703,CCCC,28,7,8,32
hash_704,CCCCC,24,4,1,28
hash_705,CCCCCC,33,5,4,24
hash_706,CCCCCCC,22,6,7,24
hash_707,CCCCCCCC,21,4,6,24
hash_708,CCCCCCCCC,17,4,8,18
hash_709,CCCCCCCCCC,19,6,5,29
hash_710,C,17,5,6,23
hash_711,CC,25,6,9,17
hash_712,CCC,18,1,4,19
